X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
21723.160201174,30177.281502595,16041,B23,OPP THE LONGHOUSE,21723,30177
20337.8304981159,35496.7665024796,42299,B02,AFT TOH TUCK CRES,20338,35497
22897.3241032116,30977.7551030237,18069,B04,OPP BLK 71,22897,30978
9402.025302007,31066.184799458,24461,B01,SMARTY BT OILFIELD,9402,31066
17478.0687000581,40311.2419973442,44501,B05,BLK 426,17478,40311
31697.1030012949,38799.9745031161,66251,B01,OPP KINGSWEAR AVE,31697,38800
14050.2636985444,34733.3983973176,21331,B10,OPP PREMIER MILK PTE LTD,14050,34733
25639.9938989226,48771.8025025442,NIL,B08,WOODLANDS AVE 10,25640,48772
17938.8620070078,34014.0489958231,20061,B02,AFT JURONG TOWN HALL RD,17939,34014
37567.6554979938,32559.9961977516,93059,B12,AFT JLN BUROH PERINDU,37568,32560
36359.2288979626,41013.8514973457,67521,B05,BLK 160,36359,41014
39890.1749024897,37108.3243013517,76119,B05,OPP BLK 945,39890,37108
32129.1176773368,39300.4691553931,66331,B03,BLK 554,32129,39300
37278.4084432159,32088.5536586048,92219,NIL,OPP CHIJ KATONG CONVENT,37278,32089
33323.926899679,33945.5249991945,70011,B07,OPP BLK 125,33324,33946
30454.8248969138,35601.875696955,52439,B03,OPP BLK 5,30455,35602
25547.7491017219,29821.1526976769,10119,B14,OPP PACIFIC TECH CTR,25548,29821
16613.7852983561,36196.9910001381,28351,B17,OPP BLK 350,16614,36197
20176.6902999562,39481.8155986509,43119,B20,BEF HAZEL PK TERR,20177,39482
29780.6421022993,36705.1528973501,53229,B04,BLK 501,29781,36705
35058.9558031121,30937.840698728,91101,B03,TG KATONG FLYOVER,35059,30938
16482.2881123554,47421.343538653,49209,B01,SG BULOH WETLAND RESERVE,16482,47421
34592.9901032313,40969.1229029517,67331,B05,BLK 200B,34593,40969
6295.76720180853,36218.9440013797,25411,B01,AFT TUAS TER,6296,36219
33185.0241290248,32492.5648362662,80251,B01,ASSN BLDG,33185,32493
33200.532403408,32146.5189985108,80141,B04,OPP MOUNTBATTEN VOC SCH,33201,32147
30002.6222004411,36384.1207026206,53409,B03,BLK 131,30003,36384
33229.5199018087,34306.8400982205,70021,B09,OPP CANOSSA CONVENT PR,33230,34307
26433.3577998617,48330.6654002986,58121,B07,BLK 424A CP,26433,48331
7260.3392975718,33285.4825001863,26021,B03,JAYA SHIPBUILDING \& ENGRG,7260,33285
27402.9135005408,38551.1364995442,53091,B15,BEF ANG MO KIO AVE 1,27403,38551
24606.3518982056,49467.0729006337,47121,B03,OPP LIAN AIK SIONG MACHINERY,24606,49467
22834.4937012366,30349.2799984671,18249,B04,AFT THE PASTEUR,22834,30349
39862.6513973573,39771.928401035,77249,B18,BLK 640,39863,39772
41172.4300984775,38933.6926958569,77369,B05,OPP BLK 555,41172,38934
19293.9619969544,32754.2854023732,20289,B24,THE JAPANESE SEC SCH,19294,32754
43200.9522985615,38386.8448993048,97119,B42,AFT TOH CL,43201,38387
30148.8604029909,33918.1418985888,50211,NIL,OPP BALESTIER PT,30149,33918
24124.2398757645,28521.209646865,15159,B04,MAPLETREE BUSINESS CITY,24124,28521
19414.1683975834,37033.6437995591,43439,B05,BLK 242,19414,37034
34199.5559983816,37879.8757969976,63269,B06,BLK 232,34200,37880
30397.9015974118,39587.603600927,54571,B11,BLK 532,30398,39588
27243.6491031629,45890.30919797,57111,B15,OPP BLK 101,27244,45890
24956.6442022594,30838.6260983067,11149,B10,QUEENSTOWN STN,24957,30839
13893.1483993496,36372.8866968897,21379,B01,BLK 263,13893,36373
41896.689301916,38968.9078026872,78069,B06,BLK 442,41897,38969
7563.96849939047,33472.220897081,26131,B05,AFT TUAS CRES,7564,33472
33550.2307984917,32566.9565024947,81169,B03,AFT S'PORE BADMINTON ASSN,33550,32567
25846.6136982669,34177.5593974471,41129,B06,OPP S'PORE BIBLE COLLEGE,25847,34178
33913.9859369039,35745.0572841772,70309,B06,,33914,35745
9368.09619925474,31770.4936028203,24379,B03,OPP ASIA IND GASES,9368,31770
