X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC
37927.3103,35509.8413,84479,B16,BLK 713
33263.6503,39654.6753,64489,B03,BLK 946A
18028.4623,37071.4726,43531,B04,BLK 140
39341.7106,34865.459,84229,B11,BLK 111
37424.9412,33669.2175,83099,B14,AFT PERPETUAL SUCCOUR CH
40506.4717,39895.7454,77199,B14,OPP BLK 500A
35658.3967,38274.7241,64229,B10,LP 93
20624.3761,31268.1154,17389,B04A,OPP WEST BAY RESORT CONDO
27435.2038,38455.7029,53089,B16,FABER GDN
20871.7987,39756.7411,44219,B04,BET BLKS 139/140
38471.86834,35681.3708,84619,B20,BLK 726
42928.8645,38367.6781,97101,B39,BEF JLN MARIAM
21405.6837,46447.1989,46589,B07,BLK 146
18545.2285,36350.799,43511,B07,BT BATOK SWIM CPLX
27653.3783,45040.7054,59541,B06,OPP KHATIB CAMP
10077.8378,33586.2822,24249,B06,ROTARY SCREENS
31175.2501,37015.7344,66021,B07,NEW TECH PK
35554.51895,34992.34172,71089,B03,OPP EUNOS TECHNOLINK
15693.6534,32859.0725,21079,B16,OPP JURONG ABATTOIR
17345.50254,33621.1199,20129,B26,BET BLKS 50/51
39486.342,35883.427,75061,B25,OPP BEDOK REFORM TRG CTR
12840.357,32495.779,22401,B07,AFT SHIPYARD RD
34249.30411,39110.14709,64521,B01A,
29207.5743,34301.7278,50169,NIL,OPP BALESTIER CTR
12719.304,32850.65,22399,B08,Aft Jln Buroh
29362.554,45201.5085,59411,B06,BLK 356
19240.8067,36510.4893,43739,B01,OPP ITE BT BATOK
38108.2958,31937.6869,93171,B15,OPP ISLAND RESORT S'PORE
6280.2336,35661.3394,25499,B06,SUPER CONTINENTAL
24149.8093,48613.5848,47069,B17,NORTHTECH
22847.4412,28959.2113,15219,B12,PASIR VIEW PK
25135.55767,33273.77358,11119,B06,OPP FARRER RD STN
18288.3809,38621.7835,43669,B02,BLK 406
37383.0569,32204.3112,92081,B09,ST PATRICK'S SEC SCH
31777.52711,32451.86619,80011,B03,OPP SRI MANMATHA K TP
27478.8869,48044.7208,58059,B30,AFT SEMBAWANG CC
40363.0691,33566.6223,84661,B03,BLK 172
27925.9069,33368.6681,40111,B13,CITY TWRS
18017.6993,38205.6094,43681,B07,BT BATOK HOME FOR THE AGED
19166.4744,37438.4014,43551,B04,OPP LITTLE GUILIN
31013.6979,34688.5347,52089,B03,OPP BLK 195
29341.5095,31297.0085,8057,B04,DHOBY GHAUT STN
21204.1522,46002.5176,46499,B08,OPP BLK 402
16874.0388,36944.4714,28121,B03,OPP TRACK 18
35234.6562,39385.4141,64059,B34,BLK 355
24619.494,48821.4879,47079,B15,OPP BRITISH AMERICAN TOBACCO
20673.9371,32589.5077,17259,B04,BLK 408
37195.2118,33285.1795,83191,B08,BEF FRANKEL DR
37499.9116,32556.2687,93051,B11,AFT DUNBAR WALK
27833.5425,30324.8954,10229,B04,OPP HARVEST MANS
6120.036101,33652.1462,26079,B13,SUMPILES INVESTMENT
44513.8765,41480.3657,99101,B04,GOVT CHALETS
31178.5912,33602.6383,60121,B11,BOON KENG STN
32099.8329,33634.2027,60031,B05,BLK 66
5716.846697,30148.3179,26419,NIL,SEN HIN CHEMICAL
28970.5512,45977.58093,59389,B11,OPP BLK 314
35667.523,33446.8595,82061,B21,EUNOS STN
34350.2446,33210.2403,81051,B13,SIMS VILLE
41423.9755,39706.3041,78109,B12,DOWNTOWN EAST
18817.58201,39936.84599,44129,B01,OPP BLK 113
17891.12001,35408.30501,28069,B10,
34228.9767,39251.6946,64399,B03,BLK 512
22265.16699,29475.52757,16011,B17,OPP HAW PAR VILLA
